product_title,product_vendor,product_type,net_quantity,gross_sales,discounts,returns,net_sales,taxes,total_sales
Bats  - Rust on Beige - Cute Halloween Fabric,Melco Fabrics,Art Print Fabric,1,20.000,0.000,0.000,20.000,2.000,22.000
Summer play -  flower field in bright orange,Melco Fabrics,Art Print Fabric,1,15.910,0.000,0.000,15.910,1.590,17.500
Summer play -  banana toss blue,Melco Fabrics,Art Print Fabric,1,17.270,0.000,0.000,17.270,1.730,19.000
Lovely Day Pink - Ellen McKenna,Melco Fabrics,Art Print Fabric,1,15.910,0.000,0.000,15.910,1.590,17.500
Beige Dinos Pink Palms,Melco Fabrics,Art Print Fabric,1,19.090,0.000,0.000,19.090,1.910,21.000
Organic Checkerboard (indigo blue),Melco Fabrics,Art Print Fabric,1,19.090,0.000,0.000,19.090,1.910,21.000
Striped streamers Lavender,Melco Fabrics,Art Print Fabric,1,17.270,0.000,0.000,17.270,1.730,19.000
Bats  - Green - Cute Halloween Fabric,Melco Fabrics,Art Print Fabric,1,20.000,0.000,0.000,20.000,2.000,22.000
Bohemian Bloom Violet,Melco Fabrics,Art Print Fabric,1,17.270,0.000,0.000,17.270,1.730,19.000
Picnic Blanket,Melco Fabrics,Art Print Fabric,1,15.910,0.000,0.000,15.910,1.590,17.500
"Checkery Checker (lavender, lilac, yellow)",Melco Fabrics,Art Print Fabric,1,17.270,0.000,0.000,17.270,1.730,19.000
Organic Checkerboard (malt light tan brown),Melco Fabrics,Art Print Fabric,1,19.090,0.000,0.000,19.090,1.910,21.000
Praline linen look,Melco Fabrics,Art Print Fabric,1,17.270,0.000,0.000,17.270,1.730,19.000
Organic Checkerboard (dark chocolate),Melco Fabrics,Art Print Fabric,1,19.090,0.000,0.000,19.090,1.910,21.000
Bush Baby Dark Green Christmas Fabric - The Scenic Route,Melco Fabrics,Art Print Fabric,1,15.910,0.000,0.000,15.910,1.590,17.500
Checkery Checker  - Halloween fall - Cute Halloween Fabric,Melco Fabrics,Art Print Fabric,1,20.000,0.000,0.000,20.000,2.000,22.000
Little Gypsy - Sundance,Melco Fabrics,Art Print Fabric,0,79.550,0.000,-86.360,-6.810,-0.690,-7.500
Tribal Gypsy - Ochre,Melco Fabrics,Art Print Fabric,0,63.640,0.000,-69.090,-5.450,-0.550,-6.000
Inked floral winter,Melco Fabrics,Art Print Fabric,-1,0.000,0.000,-15.910,-15.910,-1.590,-17.500
